# Recording Session
# start_time: 1.73215e+12
# end_time: 1.73215e+12
# Format: marker_id,timestamp,tx,ty,tz,qx,qy,qz,qw,confidence
0,1.73215e+12,-1.88483,-1.05588,3.54177,0.746219,-0.170892,-0.611243,0.200839,0.000342234
0,1.73215e+12,-1.84928,-1.01793,3.46302,0.742346,-0.162647,-0.618316,0.200384,0.000355502
0,1.73215e+12,-1.87695,-1.01938,3.4556,0.748845,-0.168479,-0.606871,0.206286,0.000350938
0,1.73215e+12,-1.89172,-0.980121,3.45115,0.753468,-0.166559,-0.602211,0.204659,0.000356445
0,1.73215e+12,-1.83672,-0.922332,3.3367,0.753081,-0.176773,-0.593935,0.221049,0.000401214
0,1.73215e+12,-1.82821,-0.948547,3.28518,0.754665,-0.167093,-0.598775,0.209831,0.000382107
0,1.73215e+12,-1.78996,-0.927464,3.20885,0.522008,-0.0486822,0.851488,0.0102941,0.000388162
0,1.73215e+12,-1.79863,-0.884206,3.21987,0.759863,-0.163583,-0.59479,0.20512,0.000407
0,1.73215e+12,-1.74504,-0.850562,3.17911,0.763705,-0.168216,-0.589112,0.203483,0.000454028
0,1.73215e+12,-1.68881,-0.853071,3.09739,0.768955,-0.168232,-0.581872,0.204524,0.000478807
0,1.73215e+12,-1.64499,-0.854999,3.09262,0.764483,-0.155675,-0.592234,0.20147,0.000508585
0,1.73215e+12,-1.59385,-0.809518,3.0736,0.766218,-0.153938,-0.591471,0.198432,0.000566733
0,1.73215e+12,-1.59456,-0.662003,3.06117,0.775172,-0.167674,-0.575643,0.19907,0.000644914
0,1.73215e+12,-1.55867,-0.59119,2.9787,0.771917,-0.162181,-0.585812,0.186186,0.00068596
0,1.73215e+12,-1.53643,-0.514683,2.96463,0.775361,-0.175466,-0.572381,0.201013,0.000765344
0,1.73215e+12,-1.49227,-0.5015,2.94638,0.776843,-0.176262,-0.571469,0.197155,0.000804514
0,1.73215e+12,-1.45544,-0.490478,2.92656,0.77927,-0.172634,-0.570036,0.19492,0.000847605
0,1.73215e+12,-1.44998,-0.459228,2.96235,0.780925,-0.173569,-0.566733,0.197089,0.000873073
