# Marker Relations File
# Format: marker1_id,marker2_id,tx,ty,tz,qx,qy,qz,qw,confidence,observations
0,1,-0.07834882057989542,-0.0802737100881814,0.0055298088952444495,0.2101460883372049,0.20848448957497337,-0.02535132567928527,0.9548456155052173,0.00210589000000023,18150
0,2,0.040514377161226425,-1.1544726433971242,-0.07711218918491368,0.03196658401215736,0.9184804131420518,-0.009623733364327196,0.3940548844223761,0.002859800000001256,20086
0,3,0.2689951055730672,-1.059564331600418,-0.9722881725408605,0.044091958498182295,0.9266688402305198,-0.027324373824188106,0.3722823368583768,0.0026887150000007324,31097
0,4,0.38217534749990173,-0.8318982115034719,-1.445636531970141,0.06795775869312629,0.9201606283388629,-0.0046034921333553275,0.38557096486718745,0.002098590000000418,27588
0,5,0.6629414094420429,-0.4424464359636237,-1.319189854826583,0.20770600312309784,0.2322083953238212,-0.082955428770419,0.9466022788084125,0.0020889600000000173,4356
1,2,0.10004054057612358,-0.994063921647577,0.42034547442057085,-0.07356423691019659,0.7936406693332029,-0.18554989498212043,0.5747121257640998,0.0028350500000011193,24900
1,3,0.6780311960057214,-1.226362326253369,-0.2685052536291782,-0.05392823903263086,0.8025862654660287,-0.20219605027267273,0.5586266989450679,0.0026639649999996413,38550
1,4,0.9836569831676193,-1.1886579334495515,-0.7088137315874952,-0.03850459717413719,0.7989811891331698,-0.17382090723024227,0.5743977259856264,0.002073839999999934,34200
1,5,1.2032346993728793,-0.7465012554725032,-0.6561437416818806,0.010810529862886756,0.012204138898851276,-0.06070621069854737,0.9980225184936684,0.002064210000000137,5400
2,3,0.49633206285241915,0.10311936125969617,0.7781850376350367,0.021652945336019667,0.022775210532368195,0.003690605901950604,0.9994992842276367,0.0034178749999974763,42662
2,4,0.773105120674024,0.334225446022944,1.1765403449003944,0.009826536923407044,0.008961260374989389,0.03490008184856131,0.9993023162544697,0.0028277499999983953,37848
2,5,0.5084145552622876,0.7423758183180048,1.2757532843171633,0.12554614859076366,-0.7785856942307378,0.15977184242011583,0.5937301067681744,0.002818120000000241,5976
3,4,0.2603388178736065,0.24642362526294087,0.400249166891636,-0.01257800603789806,-0.0130831236182844,0.031224339567115084,0.9993476203299314,0.002656664999999805,58596
3,5,-0.0051573183971851564,0.6601828827187664,0.46957526345835715,0.10611498980124079,-0.7887219826613541,0.17721863174469887,0.5790084624327714,0.0026470349999998468,9252
4,5,-0.23717114673666206,0.4275037572304964,0.08649516679973711,0.0910197847315907,-0.7861746246793174,0.14771499567949703,0.593148496035483,0.0020569100000001135,8208
